#Accession	Name	Function	Category	TC
Cpn10	PF00166.17	Chaperonin 10 Kd subunit	Other	21.2
Cpn60_TCP1	PF00118.20	TCP-1/cpn60 chaperonin family	Other	21.9
GrpE	PF01025.15	GrpE	Other	25.8
Methyltransf_5	PF01795.15	MraW methylase family	Other	19.8
PGK	PF00162.15	Phosphoglycerate kinase	Other	21.9
Ribosomal_L10	PF00466.16	Ribosomal protein L10	Other	22.8
Ribosomal_L23	PF00276.16	Ribosomal protein L23	Other	21.1
Ribosomal_L3	PF00297.18	Ribosomal protein L3	Other	22.6
Ribosomal_L4	PF00573.18	Ribosomal protein L4	Other	21.3
Ribosomal_L5	PF00281.15	Ribosomal protein L5	Other	23.8
Ribosomal_L6	PF00347.19	Ribosomal protein L6	Other	21.5
Ribosomal_S11	PF00411.15	Ribosomal protein S11	Other	21.7
Ribosomal_S13	PF00416.18	Ribosomal protein S13/S18	Other	27.7
Ribosomal_S14	PF00253.17	Ribosomal protein S14p/S29e	Other	19.8
Ribosomal_S17	PF00366.16	Ribosomal protein S17	Other	23.1
Ribosomal_S8	PF00410.15	Ribosomal protein S8	Other	24.3
Ribosomal_S9	PF00380.15	Ribosomal protein S9/S16	Other	21.8
SHMT	PF00464.15	Serine hydroxymethyltransferase	Other	21.4
TIGR00001	rpmI_bact	ribosomal protein bL35	Protein synthesis	51.2
TIGR00002	S16	ribosomal protein bS16	Protein synthesis	45.3
TIGR00003	TIGR00003	copper ion binding protein	Transport and binding proteins	62
TIGR00004	TIGR00004	reactive intermediate/imine deaminase	Cellular processes	106.25
TIGR00005	rluA_subfam	pseudouridine synthase, RluA family	Protein synthesis	192.7
TIGR00006	TIGR00006	16S rRNA (cytosine(1402)-N(4))-methyltransferase	Protein synthesis	154.3
TIGR00007	TIGR00007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide isomerase	Amino acid biosynthesis	228.95
TIGR00008	infA	translation initiation factor IF-1	Protein synthesis	61.15
TIGR00009	L28	ribosomal protein bL28	Protein synthesis	48.3
TIGR00010	TIGR00010	hydrolase, TatD family	Unknown function	206
TIGR00011	YbaK_EbsC	Cys-tRNA(Pro) deacylase	Protein synthesis	153.25
TIGR00012	L29	ribosomal protein uL29	Protein synthesis	22.6
TIGR00013	taut	4-oxalocrotonate tautomerase family enzyme	Energy metabolism	56.9
TIGR00014	arsC	arsenate reductase (glutaredoxin)	Cellular processes	106.05
TIGR00016	ackA	acetate kinase	Energy metabolism	293.4
TIGR00017	cmk	cytidylate kinase	Purines, pyrimidines, nucleosides, and nucleotides	135.55
TIGR00018	panC	pantoate--beta-alanine ligase	Biosynthesis of cofactors, prosthetic groups, and carriers	212.75
TIGR00019	prfA	peptide chain release factor 1	Protein synthesis	423.25
TIGR00020	prfB	peptide chain release factor 2	Protein synthesis	383.15
TIGR00021	rpiA	ribose 5-phosphate isomerase A	Energy metabolism	126.4
TIGR00022	TIGR00022	YhcH/YjgK/YiaL family protein	Unknown function	45.5
TIGR00023	TIGR00023	acyl-phosphate glycerol 3-phosphate acyltransferase	Fatty acid and phospholipid metabolism	137.2
TIGR00024	SbcD_rel_arch	putative phosphoesterase	Unknown function	115.2
TIGR00025	Mtu_efflux	ABC transporter efflux protein, DrrB family	Other	146.9
TIGR00026	hi_GC_TIGR00026	deazaflavin-dependent oxidoreductase, nitroreductase family	Unknown function	46.35
TIGR00027	mthyl_TIGR00027	methyltransferase, TIGR00027 family	Unknown function	93.55
TIGR00028	Mtu_PIN_fam	toxin-antitoxin system PIN domain toxin	Other	73.6
TIGR00029	S20	ribosomal protein bS20	Protein synthesis	52.9
TIGR00030	S21p	ribosomal protein bS21	Protein synthesis	28.95
TIGR00031	UDP-GALP_mutase	UDP-galactopyranose mutase	Cell envelope	303.75
TIGR00032	argG	argininosuccinate synthase	Amino acid biosynthesis	268.2
TIGR00033	aroC	chorismate synthase	Amino acid biosynthesis	212.2
TIGR00034	aroFGH	3-deoxy-7-phosphoheptulonate synthase	Amino acid biosynthesis	173.2
TIGR00035	asp_race	aspartate racemase	Energy metabolism	93.1
TIGR00036	dapB	4-hydroxy-tetrahydrodipicolinate reductase	Amino acid biosynthesis	122
TIGR00037	eIF_5A	translation elongation factor IF5A	Protein synthesis	75.45
TIGR00038	efp	translation elongation factor P	Protein synthesis	185.8
TIGR00039	6PTHBS	6-pyruvoyl tetrahydropterin synthase/QueD family protein	Protein synthesis	125.5
TIGR00040	yfcE	phosphodiesterase, MJ0936 family	Unknown function	56.25
TIGR00041	DTMP_kinase	dTMP kinase	Purines, pyrimidines, nucleosides, and nucleotides	83.25
TIGR00042	TIGR00042	non-canonical purine NTP pyrophosphatase, RdgB/HAM1 family	DNA metabolism	145.35
TIGR00043	TIGR00043	rRNA maturation RNase YbeY	Protein synthesis	42.05
TIGR00044	TIGR00044	pyridoxal phosphate enzyme, YggS family	Unknown function	106.25
TIGR00045	TIGR00045	glycerate kinase	Energy metabolism	168.45
TIGR00046	TIGR00046	RNA methyltransferase, RsmE family	Protein synthesis	41
TIGR00048	rRNA_mod_RlmN	23S rRNA (adenine(2503)-C(2))-methyltransferase	Protein synthesis	290
TIGR00049	TIGR00049	iron-sulfur cluster assembly accessory protein	Biosynthesis of cofactors, prosthetic groups, and carriers	58.8
TIGR00050	rRNA_methyl_1	RNA methyltransferase, TrmH family, group 1	Protein synthesis	167.15
TIGR00051	TIGR00051	acyl-CoA thioester hydrolase, YbgC/YbaW family	Unknown function	68.7
TIGR00052	TIGR00052	nudix-type nucleoside diphosphatase, YffH/AdpP family	Unknown function	79.55
TIGR00053	TIGR00053	addiction module toxin component, YafQ family	Cellular processes	87.25
TIGR00054	TIGR00054	RIP metalloprotease RseP	Protein fate	147.55
TIGR00055	uppS	di-trans,poly-cis-decaprenylcistransferase	Cell envelope	109.55
TIGR00056	TIGR00056	ABC transport permease subunit	Hypothetical proteins	212.2
TIGR00057	TIGR00057	tRNA threonylcarbamoyl adenosine modification protein, Sua5/YciO/YrdC/YwlC family	Protein synthesis	123.2
TIGR00058	Hemerythrin	hemerythrin family non-heme iron protein	Other	131.85
TIGR00059	L17	ribosomal protein bL17	Protein synthesis	70.05
TIGR00060	L18_bact	ribosomal protein uL18	Protein synthesis	87.85
TIGR00061	L21	ribosomal protein bL21	Protein synthesis	43.7
TIGR00062	L27	ribosomal protein bL27	Protein synthesis	90.35
TIGR00063	folE	GTP cyclohydrolase I	Biosynthesis of cofactors, prosthetic groups, and carriers	181.6
TIGR00064	ftsY	signal recognition particle-docking protein FtsY	Protein fate	260.7
TIGR00065	ftsZ	cell division protein FtsZ	Cellular processes	295.2
TIGR00066	g_glut_trans	gamma-glutamyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	357.85
TIGR00067	glut_race	glutamate racemase	Cell envelope	146.65
TIGR00068	glyox_I	lactoylglutathione lyase	Energy metabolism	122.45
TIGR00069	hisD	histidinol dehydrogenase	Amino acid biosynthesis	243.8
TIGR00070	hisG	ATP phosphoribosyltransferase	Amino acid biosynthesis	75.75
TIGR00071	hisT_truA	tRNA pseudouridine(38-40) synthase	Protein synthesis	142.85
TIGR00072	hydrog_prot	hydrogenase maturation protease	Other	47.45
TIGR00073	hypB	hydrogenase accessory protein HypB	Protein fate	121.2
TIGR00074	hypC_hupF	hydrogenase assembly chaperone HypC/HupF	Protein fate	48
TIGR00075	hypD	hydrogenase expression/formation protein HypD	Protein fate	192.8
TIGR00077	lspA	signal peptidase II	Protein fate	73.95
TIGR00078	nadC	nicotinate-nucleotide diphosphorylase (carboxylating)	Biosynthesis of cofactors, prosthetic groups, and carriers	198.4
TIGR00079	pept_deformyl	peptide deformylase	Protein fate	103.95
TIGR00080	pimt	protein-L-isoaspartate O-methyltransferase	Protein fate	159.05
TIGR00081	purC	phosphoribosylaminoimidazolesuccinocarboxamide synthase	Purines, pyrimidines, nucleosides, and nucleotides	189.9
TIGR00082	rbfA	ribosome-binding factor A	Transcription	51.15
TIGR00083	ribF	riboflavin biosynthesis protein RibF	Biosynthesis of cofactors, prosthetic groups, and carriers	184.35
TIGR00084	ruvA	Holliday junction DNA helicase RuvA	DNA metabolism	116.45
TIGR00086	smpB	SsrA-binding protein	Protein synthesis	119.1
TIGR00087	surE	5'/3'-nucleotidase SurE	Cellular processes	135.1
TIGR00088	trmD	tRNA (guanine(37)-N(1))-methyltransferase	Protein synthesis	195
TIGR00089	TIGR00089	radical SAM methylthiotransferase, MiaB/RimO family	Other	251
TIGR00090	rsfS_iojap_ybeB	ribosome silencing factor	Protein synthesis	56.9
TIGR00091	TIGR00091	tRNA (guanine-N(7)-)-methyltransferase	Protein synthesis	112.65
TIGR00092	TIGR00092	GTP-binding protein YchF	Unknown function	279.2
TIGR00093	TIGR00093	pseudouridine synthase	Protein synthesis	109.3
TIGR00094	tRNA_TruD_broad	tRNA pseudouridine synthase, TruD family	Protein synthesis	172.2
TIGR00095	TIGR00095	16S rRNA (guanine(966)-N(2))-methyltransferase RsmD	Protein synthesis	117.5
TIGR00096	TIGR00096	16S rRNA (cytidine(1402)-2'-O)-methyltransferase	Protein synthesis	167.9
TIGR00097	HMP-P_kinase	hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase	Biosynthesis of cofactors, prosthetic groups, and carriers	204.95
TIGR00099	Cof-subfamily	Cof-like hydrolase	Unknown function	137
TIGR00100	hypA	hydrogenase nickel insertion protein HypA	Protein fate	88.1
TIGR00101	ureG	urease accessory protein UreG	Central intermediary metabolism	204.2
TIGR00103	DNA_YbaB_EbfC	DNA-binding protein, YbaB/EbfC family	Unknown function	49.45
TIGR00104	tRNA_TsaA	tRNA-Thr(GGU) m(6)t(6)A37 methyltransferase TsaA	Unknown function	93.25
TIGR00105	L31	ribosomal protein bL31	Protein synthesis	38.35
TIGR00106	TIGR00106	uncharacterized protein, MTH1187 family	Unknown function	54.7
TIGR00107	deoD	purine nucleoside phosphorylase	Purines, pyrimidines, nucleosides, and nucleotides	232.25
TIGR00108	eRF	peptide chain release factor eRF/aRF, subunit 1	Other	 
TIGR00109	hemH	ferrochelatase	Biosynthesis of cofactors, prosthetic groups, and carriers	124.6
TIGR00110	ilvD	dihydroxy-acid dehydratase	Amino acid biosynthesis	618.15
TIGR00111	pelota	mRNA surveillance protein pelota	Protein synthesis	177.65
TIGR00112	proC	pyrroline-5-carboxylate reductase	Amino acid biosynthesis	196.75
TIGR00113	queA	S-adenosylmethionine:tRNA ribosyltransferase-isomerase	Protein synthesis	267.45
TIGR00114	lumazine-synth	6,7-dimethyl-8-ribityllumazine synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	84.6
TIGR00115	tig	trigger factor	Protein fate	180.2
TIGR00116	tsf	translation elongation factor Ts	Protein synthesis	104.05
TIGR00117	acnB	aconitate hydratase 2	Energy metabolism	1287.2
TIGR00118	acolac_lg	acetolactate synthase, large subunit, biosynthetic type	Amino acid biosynthesis	538.35
TIGR00119	acolac_sm	acetolactate synthase, small subunit	Amino acid biosynthesis	56.9
TIGR00120	ArgJ	glutamate N-acetyltransferase/amino-acid acetyltransferase	Amino acid biosynthesis	298
TIGR00121	birA_ligase	biotin--[acetyl-CoA-carboxylase] ligase	Protein fate	83.1
TIGR00122	birA_repr_reg	biotin operon repressor	Regulatory functions	70
TIGR00123	cbiM	cobalamin biosynthesis protein CbiM	Biosynthesis of cofactors, prosthetic groups, and carriers	184.15
TIGR00124	cit_ly_ligase	[citrate (pro-3S)-lyase] ligase	Protein fate	262.1
TIGR00125	cyt_tran_rel	cytidyltransferase-like domain	Other	27.7
TIGR00126	deoC	deoxyribose-phosphate aldolase	Purines, pyrimidines, nucleosides, and nucleotides	117.3
TIGR00127	nadp_idh_euk	isocitrate dehydrogenase, NADP-dependent	Energy metabolism	397.15
TIGR00128	fabD	malonyl CoA-acyl carrier protein transacylase	Fatty acid and phospholipid metabolism	260.9
TIGR00129	fdhD_narQ	formate dehydrogenase family accessory protein FdhD	Energy metabolism	140.9
